Time (ms),%CPU,%MEM
229500,6.6,0.6
230000,0.0,0.6
231000,6.6,0.6
231500,6.6,0.6
232000,0.0,0.6
233000,0.0,0.6
233500,0.0,0.6
234000,0.0,0.6
235000,0.0,0.6
235500,0.0,0.6
236000,0.0,0.6
237000,6.6,0.6
237500,0.0,0.6
238000,0.0,0.6
239000,6.6,0.6
239500,0.0,0.6
240000,0.0,0.6
240500,0.0,0.6
241000,0.0,0.6
242000,0.0,0.6
242500,0.0,0.6
243000,0.0,0.6
244000,0.0,0.6
244500,6.6,0.6
245000,6.6,0.6
246000,0.0,0.6
246500,0.0,0.6
247000,0.0,0.6
248000,13.3,0.6
248500,0.0,0.6
249000,6.6,0.6
250000,0.0,0.6
250500,6.6,0.6
251000,0.0,0.6
252000,0.0,0.6
252500,0.0,0.6
253000,0.0,0.6
254000,0.0,0.6
254500,0.0,0.6
255000,0.0,0.6
256000,0.0,0.6
256500,0.0,0.6
257000,6.6,0.6
258000,0.0,0.6
258500,0.0,0.6
259000,0.0,0.6
260000,0.0,0.6
260500,6.6,0.6
261000,6.6,0.6
262000,0.0,0.6
262500,0.0,0.6
263000,0.0,0.6
264000,6.6,0.6
264500,0.0,0.6
265000,0.0,0.6
266000,13.3,0.6
266500,0.0,0.6
267000,0.0,0.6
268000,0.0,0.6
268500,6.6,0.6
269000,39.8,0.6
270000,6.6,0.6
270500,0.0,0.6
271000,6.6,0.6
272000,0.0,0.6
272500,0.0,0.6
273000,0.0,0.6
273500,0.0,0.6
274000,6.6,0.6
275000,0.0,0.6
275500,6.6,0.6
276000,0.0,0.6
277000,0.0,0.6
277500,0.0,0.6
278000,0.0,0.6
279000,6.6,0.6
279500,6.6,0.6
280000,0.0,0.6
281000,0.0,0.6
281500,0.0,0.6
282000,0.0,0.6
283000,0.0,0.6
283500,0.0,0.6
284000,6.6,0.6
285000,6.6,0.6
285500,6.6,0.6
286000,0.0,0.6
287000,6.6,0.6
287500,0.0,0.6
288000,6.6,0.6
289000,0.0,0.6
289500,13.2,0.6
290000,6.6,0.6
291000,6.6,0.6
291500,6.6,0.6
292000,0.0,0.6
293000,0.0,0.6
293500,0.0,0.6
294000,0.0,0.6
295000,0.0,0.6
295500,6.6,0.6
296000,0.0,0.6
297000,0.0,0.6
297500,6.6,0.6
298000,13.3,0.6
299000,0.0,0.6
299500,13.3,0.6
300000,6.6,0.6
301000,0.0,0.6
301500,6.6,0.6
302000,0.0,0.6
303000,0.0,0.6
303500,0.0,0.6
304000,0.0,0.6
305000,0.0,0.6
305500,6.6,0.6
306000,0.0,0.6
307000,0.0,0.6
307500,6.6,0.6
308000,0.0,0.6
309000,0.0,0.6
309500,0.0,0.6
310000,0.0,0.6
311000,0.0,0.6
311500,0.0,0.6
312000,0.0,0.6
313000,0.0,0.6
313500,0.0,0.6
314000,0.0,0.6
315000,0.0,0.6
315500,0.0,0.6
316000,6.6,0.6
317000,6.6,0.6
317500,0.0,0.6
318000,0.0,0.6
319000,0.0,0.6
319500,6.6,0.6
320000,6.6,0.6
321000,0.0,0.6
321500,6.6,0.6
322000,0.0,0.6
323000,0.0,0.6
323500,0.0,0.6
324000,0.0,0.6
325000,0.0,0.6
325500,6.6,0.6
326000,0.0,0.6
327000,0.0,0.6
327500,0.0,0.6
328000,6.6,0.6
329000,6.6,0.6
329500,6.6,0.6
330000,0.0,0.6
331000,6.6,0.6
331500,6.6,0.6
332000,0.0,0.6
332500,0.0,0.6
333000,0.0,0.6
334000,6.6,0.6
334500,6.6,0.6
335000,0.0,0.6
336000,0.0,0.6
336500,0.0,0.6
337000,0.0,0.6
338000,0.0,0.6
338500,6.6,0.6
339000,6.6,0.6
340000,0.0,0.6
340500,0.0,0.6
341000,6.6,0.6
342000,0.0,0.6
342500,0.0,0.6
343000,0.0,0.6
344000,6.6,0.6
344500,6.6,0.6
345000,0.0,0.6
346000,0.0,0.6
346500,6.6,0.6
347000,0.0,0.6
348000,0.0,0.6
348500,0.0,0.6
349000,13.3,0.6
350000,0.0,0.6
350500,0.0,0.6
351000,0.0,0.6
352000,0.0,0.6
352500,0.0,0.6
353000,0.0,0.6
354000,6.6,0.6
354500,6.6,0.6
355000,0.0,0.6
356000,0.0,0.6
356500,0.0,0.6
357000,6.6,0.6
358000,6.6,0.6
358500,6.6,0.6
359000,6.6,0.6
360000,0.0,0.6
360500,0.0,0.6
361000,0.0,0.6
362000,0.0,0.6
362500,0.0,0.6
363000,0.0,0.6
364000,6.6,0.6
364500,0.0,0.6
365000,0.0,0.6
366000,0.0,0.6
366500,6.6,0.6
367000,0.0,0.6
368000,6.6,0.6
368500,6.6,0.6
369000,6.6,0.6
370000,13.3,0.6
370500,0.0,0.6
371000,6.6,0.6
371500,0.0,0.6
372000,0.0,0.6
373000,0.0,0.6
373500,0.0,0.6
374000,0.0,0.6
375000,6.6,0.6
376000,0.0,0.6
376500,6.6,0.6
377000,0.0,0.6
377500,0.0,0.6
378000,0.0,0.6
379000,0.0,0.6
379500,0.0,0.6
380000,6.6,0.6
381000,0.0,0.6
381500,0.0,0.6
382000,0.0,0.6
383000,0.0,0.6
383500,0.0,0.6
384000,6.6,0.6
385000,6.6,0.6
385500,0.0,0.6
386000,6.6,0.6
387000,6.6,0.6
387500,0.0,0.6
388000,6.6,0.6
389000,6.6,0.6
389500,13.3,0.6
390000,6.6,0.6
391000,6.6,0.6
391500,0.0,0.6
392000,0.0,0.6
393000,0.0,0.6
393500,0.0,0.6
394000,0.0,0.6
395000,0.0,0.6
395500,0.0,0.6
396000,0.0,0.6
397000,0.0,0.6
397500,0.0,0.6
398000,6.6,0.6
399000,6.6,0.6
399500,0.0,0.6
400000,6.6,0.6
401000,0.0,0.6
401500,0.0,0.6
402000,0.0,0.6
403000,0.0,0.6
403500,0.0,0.6
404000,0.0,0.6
405000,0.0,0.6
405500,0.0,0.6
406000,6.6,0.6
407000,0.0,0.6
407500,6.6,0.6
408000,0.0,0.6
409000,6.6,0.6
409500,0.0,0.6
410000,0.0,0.6
411000,6.6,0.6
411500,0.0,0.6
412000,0.0,0.6
412500,0.0,0.6
413000,0.0,0.6
414000,0.0,0.6
